Wed Apr 21 23:42:37 2021    log1.txt

         62394416 function calls (59451042 primitive calls) in 245.476 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       27    0.000    0.000    0.001    0.000 traitlets.py:595(__set__)
        1    0.000    0.000    0.001    0.001 ipkernel.py:459(do_is_complete)
        1    0.000    0.000    0.001    0.001 commbase.py:358(_set_call_return_value)
        2    0.000    0.000    0.001    0.000 zmqstream.py:495(_handle_send)
        1    0.000    0.000    0.001    0.001 commbase.py:217(_send_message)
        1    0.000    0.000    0.001    0.001 inputtransformer2.py:596(check_complete)
       27    0.000    0.000    0.001    0.000 traitlets.py:577(set)
       40    0.000    0.000    0.001    0.000 encoder.py:204(iterencode)
      323    0.000    0.000    0.001    0.000 threading.py:1017(_wait_for_tstate_lock)
        1    0.000    0.000    0.001    0.001 comm.py:120(send)
        1    0.000    0.000    0.001    0.001 comm.py:61(_publish_msg)
       13    0.000    0.000    0.001    0.000 session.py:586(sign)
        8    0.000    0.000    0.001    0.000 iostream.py:262(send_multipart)
      361    0.000    0.000    0.001    0.000 traitlets.py:564(__get__)
        2    0.000    0.000    0.001    0.000 socket.py:493(send_multipart)
        8    0.000    0.000    0.001    0.000 iostream.py:209(send_multipart)
        3    0.000    0.000    0.001    0.000 ipkernel.py:143(set_parent)
        3    0.000    0.000    0.001    0.000 _parser.py:205(split)
        4    0.000    0.000    0.001    0.000 inputtransformer2.py:468(make_tokens_by_line)
      200    0.000    0.000    0.001    0.000 iostream.py:310(_is_master_process)
        3    0.000    0.000    0.001    0.000 kernelbase.py:367(dispatch_queue)
        3    0.000    0.000    0.001    0.000 inputtransformer2.py:576(do_token_transforms)
       99    0.001    0.000    0.001    0.000 four_ws_rover_dynamic_simulator_full_par.py:2837(setSteerTorques)
        2    0.000    0.000    0.001    0.000 interactiveshell.py:3184(transform_cell)
        3    0.000    0.000    0.001    0.000 inputtransformer2.py:544(do_one_token_transform)
        1    0.001    0.001    0.001    0.001 autoreload.py:533(post_execute_hook)
       39    0.000    0.000    0.001    0.000 _parser.py:195(__next__)
       32    0.000    0.000    0.001    0.000 tokenize.py:429(_tokenize)
       14    0.000    0.000    0.001    0.000 zmqstream.py:540(_update_handler)
       12    0.000    0.000    0.000    0.000 zmqstream.py:517(_rebuild_io_state)
       39    0.000    0.000    0.000    0.000 _parser.py:83(get_token)
        3    0.000    0.000    0.000    0.000 zmqstream.py:477(_handle_recv)
       17    0.000    0.000    0.000    0.000 attrsettr.py:38(__getattr__)
        2    0.000    0.000    0.000    0.000 interactiveshell.py:2949(should_run_async)
       10    0.000    0.000    0.000    0.000 session.py:567(msg)
       20    0.000    0.000    0.000    0.000 traitlets.py:1216(_notify_trait)
        3    0.000    0.000    0.000    0.000 zmqshell.py:573(set_parent)
       20    0.000    0.000    0.000    0.000 traitlets.py:1225(notify_change)
     18/4    0.000    0.000    0.000    0.000 jsonutil.py:109(json_clean)
      315    0.000    0.000    0.000    0.000 iostream.py:93(_event_pipe)
       12    0.000    0.000    0.000    0.000 session.py:84(<lambda>)
       20    0.000    0.000    0.000    0.000 traitlets.py:1229(_notify_observers)
     2393    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
       12    0.000    0.000    0.000    0.000 jsonapi.py:47(loads)
        8    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
       10    0.000    0.000    0.000    0.000 session.py:564(msg_header)
        3    0.000    0.000    0.000    0.000 zmqstream.py:452(_handle_events)
       21    0.000    0.000    0.000    0.000 jsonutil.py:84(date_default)
        2    0.000    0.000    0.000    0.000 inputtransformer2.py:585(transform_cell)
        6    0.000    0.000    0.000    0.000 _parser.py:881(_parse_numeric_token)
        5    0.000    0.000    0.000    0.000 zmqstream.py:438(_run_callback)
       99    0.000    0.000    0.000    0.000 four_ws_rover_dynamic_simulator_full_par.py:2841(setDrivingTorque)
       14    0.000    0.000    0.000    0.000 gen.py:797(handle_yield)
      361    0.000    0.000    0.000    0.000 traitlets.py:533(get)
        3    0.000    0.000    0.000    0.000 kernelbase.py:395(schedule_dispatch)
        2    0.000    0.000    0.000    0.000 eventloops.py:26(_notify_stream_qt)
       12    0.000    0.000    0.000    0.000 __init__.py:299(loads)
       17    0.000    0.000    0.000    0.000 attrsettr.py:61(_get_attr_opt)
        2    0.000    0.000    0.000    0.000 zmqstream.py:267(send_multipart)
       22    0.000    0.000    0.000    0.000 base_events.py:709(call_soon)
       27    0.000    0.000    0.000    0.000 traitlets.py:606(_validate)
       33    0.000    0.000    0.000    0.000 zmqstream.py:425(sending)
       21    0.000    0.000    0.000    0.000 {method 'isoformat' of 'datetime.datetime' objects}
        1    0.000    0.000    0.000    0.000 kernelbase.py:456(_publish_execute_input)
       14    0.000    0.000    0.000    0.000 functools.py:870(wrapper)
        6    0.000    0.000    0.000    0.000 signal.py:45(signal)
        1    0.000    0.000    0.000    0.000 codeop.py:111(compile_command)
        1    0.000    0.000    0.000    0.000 codeop.py:69(_maybe_compile)
        3    0.000    0.000    0.000    0.000 kernelbase.py:473(set_parent)
        1    0.000    0.000    0.000    0.000 asyncio.py:187(_handle_events)
       12    0.000    0.000    0.000    0.000 decoder.py:332(decode)
       20    0.000    0.000    0.000    0.000 py3compat.py:19(encode)
      210    0.000    0.000    0.000    0.000 {built-in method nt.getpid}
       12    0.000    0.000    0.000    0.000 concurrent.py:173(future_set_result_unless_cancelled)
        1    0.000    0.000    0.000    0.000 history.py:691(store_inputs)
        2    0.000    0.000    0.000    0.000 os.py:678(__setitem__)
       61    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        3    0.000    0.000    0.000    0.000 queues.py:209(put_nowait)
        8    0.000    0.000    0.000    0.000 asyncio.py:221(add_callback)
       22    0.000    0.000    0.000    0.000 base_events.py:738(_call_soon)
       14    0.000    0.000    0.000    0.000 zmqstream.py:351(update_flag)
       33    0.000    0.000    0.000    0.000 queue.py:96(empty)
       78    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
        3    0.000    0.000    0.000    0.000 socket.py:540(recv_multipart)
       13    0.000    0.000    0.000    0.000 hmac.py:98(copy)
      323    0.000    0.000    0.000    0.000 threading.py:513(is_set)
        3    0.000    0.000    0.000    0.000 codeop.py:108(_compile)
        8    0.000    0.000    0.000    0.000 threading.py:505(__init__)
       24    0.000    0.000    0.000    0.000 tokenize.py:98(_compile)
       14    0.000    0.000    0.000    0.000 {method 'set_result' of '_asyncio.Future' objects}
        2    0.000    0.000    0.000    0.000 {built-in method nt.putenv}
        2    0.000    0.000    0.000    0.000 prefilter.py:314(prefilter_lines)
        2    0.000    0.000    0.000    0.000 zmqstream.py:530(_add_io_state)
       10    0.000    0.000    0.000    0.000 session.py:217(msg_header)
        4    0.000    0.000    0.000    0.000 {method 'connect' of 'PyQt5.QtCore.pyqtBoundSignal' objects}
        2    0.000    0.000    0.000    0.000 prefilter.py:271(prefilter_line)
       13    0.000    0.000    0.000    0.000 hmac.py:130(hexdigest)
        2    0.000    0.000    0.000    0.000 zmqstream.py:548(<lambda>)
        2    0.000    0.000    0.000    0.000 kernelbase.py:323(schedule_next)
        3    0.000    0.000    0.000    0.000 zmqshell.py:73(set_parent)
        3    0.000    0.000    0.000    0.000 kernelbase.py:289(post_handler_hook)
        7    0.000    0.000    0.000    0.000 kernelbase.py:784(_topic)
      354    0.000    0.000    0.000    0.000 {method 'rsplit' of 'str' objects}
        6    0.000    0.000    0.000    0.000 signal.py:25(_int_to_enum)
      353    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
       24    0.000    0.000    0.000    0.000 re.py:250(compile)
        3    0.000    0.000    0.000    0.000 displayhook.py:56(set_parent)
       41    0.000    0.000    0.000    0.000 abc.py:96(__instancecheck__)
       11    0.000    0.000    0.000    0.000 session.py:148(utcnow)
       10    0.000    0.000    0.000    0.000 session.py:511(msg_id)
        6    0.000    0.000    0.000    0.000 enum.py:283(__call__)
        2    0.000    0.000    0.000    0.000 async_helpers.py:141(_should_be_async)
       52    0.000    0.000    0.000    0.000 hmac.py:94(update)
        2    0.000    0.000    0.000    0.000 ioloop.py:587(call_later)
       24    0.000    0.000    0.000    0.000 events.py:32(__init__)
        3    0.000    0.000    0.000    0.000 kernelbase.py:284(pre_handler_hook)
       20    0.000    0.000    0.000    0.000 {method 'replace' of 'datetime.datetime' objects}
        1    0.000    0.000    0.000    0.000 interactiveshell.py:3245(run_ast_nodes)
       24    0.000    0.000    0.000    0.000 re.py:289(_compile)
       99    0.000    0.000    0.000    0.000 wheel_controller.py:137(getWheelIndexes)
       39    0.000    0.000    0.000    0.000 {method 'copy' of '_hashlib.HASH' objects}
       13    0.000    0.000    0.000    0.000 hmac.py:111(_current)
        7    0.000    0.000    0.000    0.000 py3compat.py:29(cast_bytes)
       26    0.000    0.000    0.000    0.000 traitlets.py:615(_cross_validate)
       40    0.000    0.000    0.000    0.000 encoder.py:104(__init__)
       60    0.000    0.000    0.000    0.000 bunch.py:11(__getattr__)
        2    0.000    0.000    0.000    0.000 prefilter.py:246(prefilter_line_info)
       16    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       14    0.000    0.000    0.000    0.000 gen.py:841(convert_yielded)
        2    0.000    0.000    0.000    0.000 asyncio.py:206(call_at)
        6    0.000    0.000    0.000    0.000 enum.py:562(__new__)
        2    0.000    0.000    0.000    0.000 prefilter.py:255(find_handler)
        8    0.000    0.000    0.000    0.000 threading.py:222(__init__)
       14    0.000    0.000    0.000    0.000 {method 'add_done_callback' of '_asyncio.Future' objects}
       41    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
       20    0.000    0.000    0.000    0.000 cp1252.py:11(encode)
       93    0.000    0.000    0.000    0.000 _parser.py:214(isnum)
       14    0.000    0.000    0.000    0.000 functools.py:814(dispatch)
       65    0.000    0.000    0.000    0.000 {method 'update' of '_hashlib.HASH' objects}
       11    0.000    0.000    0.000    0.000 gen.py:146(_create_future)
        2    0.000    0.000    0.000    0.000 queue.py:153(get)
       11    0.000    0.000    0.000    0.000 poll.py:28(register)
        3    0.000    0.000    0.000    0.000 queues.py:225(get)
       12    0.000    0.000    0.000    0.000 decoder.py:343(raw_decode)
        9    0.000    0.000    0.000    0.000 _parser.py:434(append)
        9    0.000    0.000    0.000    0.000 _parser.py:1147(_to_decimal)
        2    0.000    0.000    0.000    0.000 codeop.py:140(__call__)
        2    0.000    0.000    0.000    0.000 base_events.py:671(call_later)
       17    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1017(_handle_fromlist)
        8    0.000    0.000    0.000    0.000 gen.py:551(maybe_future)
        2    0.000    0.000    0.000    0.000 queue.py:121(put)
        3    0.000    0.000    0.000    0.000 adapter.py:368(adapt)
        6    0.000    0.000    0.000    0.000 _parser.py:1012(_find_hms_idx)
        1    0.000    0.000    0.000    0.000 common.py:43(validate_tol)
       35    0.000    0.000    0.000    0.000 queue.py:208(_qsize)
        3    0.000    0.000    0.000    0.000 _parser.py:239(__len__)
       10    0.000    0.000    0.000    0.000 session.py:742(<listcomp>)
        5    0.000    0.000    0.000    0.000 threading.py:341(notify)
        3    0.000    0.000    0.000    0.000 _parser.py:227(__init__)
