Wed Apr 21 23:13:03 2021    log.txt

         62433873 function calls (59490425 primitive calls) in 250.506 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   913821    4.335    0.000    4.335    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   230745    0.327    0.000    4.059    0.000 <__array_function__ internals>:2(any)
        3    0.000    0.000    3.536    1.179 kernelbase.py:302(advance_eventloop)
        3    0.000    0.000    3.536    1.179 eventloops.py:127(loop_qt5)
        3    0.000    0.000    3.535    1.178 eventloops.py:110(loop_qt4)
        3    0.000    0.000    3.534    1.178 eventloops.py:98(_loop_qt)
        3    3.532    1.177    3.534    1.178 {built-in method exec_}
   230745    0.530    0.000    3.401    0.000 fromnumeric.py:2249(any)
   227692    2.944    0.000    3.033    0.000 friction.py:51(computeFrictionCoeffiecient)
   230745    0.957    0.000    2.871    0.000 fromnumeric.py:70(_wrapreduction)
   288431    0.381    0.000    2.833    0.000 configparser.py:393(before_get)
    56923    2.595    0.000    2.595    0.000 {wrapper_module_126.autofunc_c}
    56923    2.585    0.000    2.585    0.000 {wrapper_module_138.autofunc_c}
    56923    2.564    0.000    2.564    0.000 {wrapper_module_130.autofunc_c}
   683076    2.063    0.000    2.555    0.000 _methods.py:59(_count_reduce_items)
    56923    2.507    0.000    2.507    0.000 {wrapper_module_134.autofunc_c}
   288431    0.751    0.000    2.387    0.000 configparser.py:406(_interpolate_some)
  1317822    0.827    0.000    2.266    0.000 shape_base.py:219(_vhstack_dispatcher)
       17    0.000    0.000    1.885    0.111 selectors.py:319(select)
       17    0.000    0.000    1.885    0.111 selectors.py:313(_select)
       17    1.885    0.111    1.885    0.111 {built-in method select.select}
    56923    1.821    0.000    1.821    0.000 {wrapper_module_125.autofunc_c}
    56923    1.480    0.000    1.480    0.000 {wrapper_module_137.autofunc_c}
    56923    1.476    0.000    1.476    0.000 {wrapper_module_129.autofunc_c}
    56923    1.471    0.000    1.471    0.000 {wrapper_module_133.autofunc_c}
  1317822    0.725    0.000    1.439    0.000 shape_base.py:208(_arrays_for_stack_dispatcher)
   576862    0.920    0.000    1.341    0.000 configparser.py:1139(_unify_values)
  7134635    1.259    0.000    1.259    0.000 {method 'append' of 'list' objects}
    57687    0.069    0.000    1.197    0.000 <__array_function__ internals>:2(vstack)
   285378    1.048    0.000    1.048    0.000 {method 'dot' of 'numpy.ndarray' objects}
  2005704    1.037    0.000    1.037    0.000 {built-in method builtins.hasattr}
    57686    0.994    0.000    0.994    0.000 {wrapper_module_8.autofunc_c}
    57687    0.155    0.000    0.974    0.000 shape_base.py:223(vstack)
    57686    0.899    0.000    0.899    0.000 {wrapper_module_19.autofunc_c}
    57686    0.882    0.000    0.882    0.000 {wrapper_module_24.autofunc_c}
   576862    0.875    0.000    0.875    0.000 __init__.py:892(__getitem__)
    57686    0.873    0.000    0.873    0.000 {wrapper_module_13.autofunc_c}
    19228    0.101    0.000    0.836    0.000 rk.py:108(_estimate_error_norm)
    57686    0.833    0.000    0.833    0.000 {wrapper_module_61.autofunc_c}
    57686    0.752    0.000    0.752    0.000 {wrapper_module_65.autofunc_c}
  2689755    0.702    0.000    0.702    0.000 {built-in method builtins.isinstance}
   596093    0.320    0.000    0.678    0.000 _asarray.py:14(asarray)
    57686    0.677    0.000    0.677    0.000 {wrapper_module_73.autofunc_c}
    57686    0.674    0.000    0.674    0.000 {wrapper_module_77.autofunc_c}
    19231    0.107    0.000    0.513    0.000 common.py:59(norm)
   576862    0.350    0.000    0.508    0.000 configparser.py:874(optionxform)
    57687    0.068    0.000    0.503    0.000 <__array_function__ internals>:2(atleast_2d)
   227692    0.485    0.000    0.485    0.000 functions.py:9(step5)
   576862    0.421    0.000    0.421    0.000 __init__.py:882(__init__)
  2063098    0.410    0.000    0.410    0.000 {built-in method builtins.len}
